exclusion_reason,run_id,category,report,task,agent_group,agent_id,model,effort,rounds,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,passed,checks,success_rate,cost_usd,usage_available,usage_source,round_usage_total_tokens,round_usage_checked,aggregate_snapshot_usage_rounds,excluded_duplicate_usage_rounds,reported_total_tokens,reported_cost_usd,source_path
tura-balanced-rounds-over-90-long-tail,dynamodb-toolbox-conditional-attribute-requirements-tura-balanced-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,dynamodb-toolbox-conditional-attribute-requirements,tura-balanced,tura-balanced-gpt5.6-sol-high,gpt-5.6-sol,high,242,35383056,34832640,81861,15608,35464917,1,1,1.0,22.62423,True,task-report.source,35464917,True,0,0,35464917,22.62423,debug/report-deepswe-v1.1-gpt56-sol-local-r01/dynamodb-toolbox-conditional-attribute-requirements/tura-balanced/dynamodb-toolbox-conditional-attribute-requirements-tura-balanced-run-01/metadata/contracts/harness-report.json
tura-balanced-rounds-over-90-long-tail,quill-shared-toolbar-focus-tura-balanced-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,quill-shared-toolbar-focus,tura-balanced,tura-balanced-gpt5.6-sol-high,gpt-5.6-sol,high,113,15952807,15678464,61068,22228,16013875,1,1,1.0,11.042987,True,task-report.source,16013875,True,0,0,16013875,11.042987,debug/report-deepswe-v1.1-gpt56-sol-local-r01/quill-shared-toolbar-focus/tura-balanced/quill-shared-toolbar-focus-tura-balanced-run-01/metadata/contracts/harness-report.json
